Sr. No.,Ticker,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
395,CENTURYTEX.NS,CENTURYTEX,Century Textiles & Industries Limited,708151
396,CANFINHOME.NS,CANFINHOME,Can Fin Homes Limited,704652
397,GRANULES.NS,GRANULES,Granules India Limited,703618
398,TANLA.NS,TANLA,Tanla Platforms Limited,703250
399,JYOTHYLAB.NS,JYOTHYLAB,Jyothy Labs Limited,699532
400,SPLPETRO.NS,SPLPETRO,Supreme Petrochem Limited,696317
401,DEEPAKFERT.NS,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692667
402,CRAFTSMAN.NS,CRAFTSMAN,Craftsman Automation Limited,687790
403,BIRLACORPN.NS,BIRLACORPN,Birla Corporation Limited,685502
404,BLS.NS,BLS,BLS International Services Limited,680729
405,SHYAMMETL.NS,SHYAMMETL,Shyam Metalics and Energy Limited,670480
406,NCC.NS,NCC,NCC Limited,666145
407,GMMPFAUDLR.NS,GMMPFAUDLR,GMM Pfaudler Limited,659073
408,LATENTVIEW.NS,LATENTVIEW,Latent View Analytics Limited,657939
409,USHAMART.NS,USHAMART,Usha Martin Limited,653671
410,HOMEFIRST.NS,HOMEFIRST,Home First Finance Company India Limited,653569
411,JKPAPER.NS,JKPAPER,JK Paper Limited,646609
412,TMB.NS,TMB,Tamilnad Mercantile Bank Limited,645441
413,JINDWORLD.NS,JINDWORLD,Jindal Worldwide Limited,643169
414,METROPOLIS.NS,METROPOLIS,Metropolis Healthcare Limited,639263
415,SAREGAMA.NS,SAREGAMA,Saregama India Limited,638489
416,NBCC.NS,NBCC,NBCC (India) Limited,638100
417,ECLERX.NS,ECLERX,eClerx Services Limited,632623
418,BALAMINES.NS,BALAMINES,Balaji Amines Limited,629649
419,WELSPUNIND.NS,WELSPUNIND,Welspun India Limited,628899
420,PRAJIND.NS,PRAJIND,Praj Industries Limited,626462
421,COCHINSHIP.NS,COCHINSHIP,Cochin Shipyard Limited,625803
422,ZENSARTECH.NS,ZENSARTECH,Zensar Technologies Limited,621067
423,AMBER.NS,AMBER,Amber Enterprises India Limited,614776
424,LEMONTREE.NS,LEMONTREE,Lemon Tree Hotels Limited,612010
425,PRINCEPIPE.NS,PRINCEPIPE,Prince Pipes And Fittings Limited,599794
426,TRIVENI.NS,TRIVENI,Triveni Engineering & Industries Limited,593542
427,GARFIBRES.NS,GARFIBRES,Garware Technical Fibres Limited,593035
428,LXCHEM.NS,LXCHEM,Laxmi Organic Industries Limited,590658
429,STLTECH.NS,STLTECH,Sterlite Technologies Limited,587870
430,CEATLTD.NS,CEATLTD,CEAT Limited,586749
431,BSE.NS,BSE,BSE Limited,583777
432,SPARC.NS,SPARC,Sun Pharma Advanced Research Company Limited,581990
433,ALOKINDS.NS,ALOKINDS,Alok Industries Limited,575968
434,ORIENTELEC.NS,ORIENTELEC,Orient Electric Limited,575159
435,INDIACEM.NS,INDIACEM,The India Cements Limited,573465
436,JUBLINGREA.NS,JUBLINGREA,Jubilant Ingrevia Limited,573332
437,KIRLOSENG.NS,KIRLOSENG,Kirloskar Oil Engines Limited,573211
438,TCIEXP.NS,TCIEXP,TCI Express Limited,571974
439,JMFINANCIL.NS,JMFINANCIL,JM Financial Limited,569053
440,NETWORK18.NS,NETWORK18,Network18 Media & Investments Limited,567970
441,BBTC.NS,BBTC,Bombay Burmah Trading Corporation Limited,566094
442,SWANENERGY.NS,SWANENERGY,Swan Energy Limited,564255
443,GPPL.NS,GPPL,Gujarat Pipavav Port Limited,562966
444,KAYNES.NS,KAYNES,Kaynes Technology India Limited,559796
445,VRLLOG.NS,VRLLOG,VRL Logistics Limited,558861
446,INTELLECT.NS,INTELLECT,Intellect Design Arena Limited,557277
447,SWSOLAR.NS,SWSOLAR,Sterling and Wilson Renewable Energy Limited,553146
448,CHEMPLASTS.NS,CHEMPLASTS,Chemplast Sanmar Limited,549984
449,QUESS.NS,QUESS,Quess Corp Limited,547804
450,ROLEXRINGS.NS,ROLEXRINGS,Rolex Rings Limited,545265
451,MAHLIFE.NS,MAHLIFE,Mahindra Lifespace Developers Limited,544509
452,ESABINDIA.NS,ESABINDIA,Esab India Limited,543812
453,MHRIL.NS,MHRIL,Mahindra Holidays & Resorts India Limited,543037
454,GOCOLORS.NS,GOCOLORS,Go Fashion (India) Limited,542601
455,HGS.NS,HGS,Hinduja Global Solutions Limited,540801
456,BORORENEW.NS,BORORENEW,BOROSIL RENEWABLES LIMITED,536152
457,GAEL.NS,GAEL,Gujarat Ambuja Exports Limited,532861
458,MAPMYINDIA.NS,MAPMYINDIA,C.E. Info Systems Limited,532476
459,PRSMJOHNSN.NS,PRSMJOHNSN,Prism Johnson Limited,530286
460,RUSTOMJEE.NS,RUSTOMJEE,Keystone Realtors Limited,527423
461,IRCON.NS,IRCON,Ircon International Limited,526689
462,RCF.NS,RCF,Rashtriya Chemicals and Fertilizers Limited,526035
463,WELCORP.NS,WELCORP,Welspun Corp Limited,524366
464,BEML.NS,BEML,BEML Limited,523638
465,GRSE.NS,GRSE,Garden Reach Shipbuilders & Engineers Limited,521670
466,EPL.NS,EPL,EPL Limited,516229
467,MINDACORP.NS,MINDACORP,Minda Corporation Limited,514379
468,GRAPHITE.NS,GRAPHITE,Graphite India Limited,512959
469,HGINFRA.NS,HGINFRA,H.G. Infra Engineering Limited,510094
470,OLECTRA.NS,OLECTRA,Olectra Greentech Limited,508285
471,RELINFRA.NS,RELINFRA,Reliance Infrastructure Limited,507457
472,JUSTDIAL.NS,JUSTDIAL,Just Dial Limited,501835
473,RAIN.NS,RAIN,Rain Industries Limited,501323
474,IONEXCHANG.NS,IONEXCHANG,ION Exchange (India) Limited,500712
475,EDELWEISS.NS,EDELWEISS,Edelweiss Financial Services Limited,496071
476,UJJIVANSFB.NS,UJJIVANSFB,Ujjivan Small Finance Bank Limited,493535
477,TV18BRDCST.NS,TV18BRDCST,TV18 Broadcast Limited,492879
478,GPIL.NS,GPIL,Godawari Power And Ispat limited,491757
479,MTARTECH.NS,MTARTECH,Mtar Technologies Limited,486478
480,TCI.NS,TCI,Transport Corporation of India Limited,486206
481,RTNINDIA.NS,RTNINDIA,RattanIndia Enterprises Limited,485868
482,VSTIND.NS,VSTIND,VST Industries Limited,485733
483,SAFARI.NS,SAFARI,Safari Industries (India) Limited,485572
484,ACE.NS,ACE,Action Construction Equipment Limited,484550
485,MAHSCOOTER.NS,MAHSCOOTER,Maharashtra Scooters Limited,483811
486,DELTACORP.NS,DELTACORP,Delta Corp Limited,483347
487,GLS.NS,GLS,Glenmark Life Sciences Limited,481409
488,GHCL.NS,GHCL,GHCL Limited,481322
489,INDIGOPNTS.NS,INDIGOPNTS,Indigo Paints Limited,479856
490,MAHSEAMLES.NS,MAHSEAMLES,Maharashtra Seamless Limited,479114
491,SUPRAJIT.NS,SUPRAJIT,Suprajit Engineering Limited,477178
492,KFINTECH.NS,KFINTECH,Kfin Technologies Limited,474263
493,GSFC.NS,GSFC,Gujarat State Fertilizers & Chemicals Limited,474188
494,J&KBANK.NS,J&KBANK,The Jammu & Kashmir Bank Limited,471606
495,RELIGARE.NS,RELIGARE,Religare Enterprises Limited,469161
496,MASTEK.NS,MASTEK,Mastek Limited,469144
497,SIS.NS,SIS,SIS LIMITED,467281
498,JINDALSAW.NS,JINDALSAW,Jindal Saw Limited,466521
499,TEGA.NS,TEGA,Tega Industries Limited,465441
500,SYRMA.NS,SYRMA,Syrma SGS Technology Limited,464130
501,AVANTIFEED.NS,AVANTIFEED,Avanti Feeds Limited,462486
502,STARCEMENT.NS,STARCEMENT,Star Cement Limited,461302
503,IBULHSGFIN.NS,IBULHSGFIN,Indiabulls Housing Finance Limited,459099
504,RKFORGE.NS,RKFORGE,Ramkrishna Forgings Limited,457444
505,CAPLIPOINT.NS,CAPLIPOINT,Caplin Point Laboratories Limited,452342
506,VAIBHAVGBL.NS,VAIBHAVGBL,Vaibhav Global Limited,450209
507,RBA.NS,RBA,Restaurant Brands Asia Limited,445580
508,JUBLPHARMA.NS,JUBLPHARMA,Jubilant Pharmova Limited,444155
509,SHARDACROP.NS,SHARDACROP,Sharda Cropchem Limited,441810
510,NIITLTD.NS,NIITLTD,NIIT Limited,439151
511,PCBL.NS,PCBL,PCBL LIMITED,438234
512,MASFIN.NS,MASFIN,MAS Financial Services Limited,438116
513,SCI.NS,SCI,Shipping Corporation Of India Limited,435988
514,PDSL.NS,PDSL,PDS Limited,434876
515,GUJALKALI.NS,GUJALKALI,Gujarat Alkalies and Chemicals Limited,429765
516,ELECON.NS,ELECON,Elecon Engineering Company Limited,428772
517,CMSINFO.NS,CMSINFO,CMS Info Systems Limited,427611
518,VMART.NS,VMART,V-Mart Retail Limited,427540
519,ICRA.NS,ICRA,ICRA Limited,426811
520,JSWHL.NS,JSWHL,JSW Holdings Limited,425926
521,FDC.NS,FDC,FDC Limited,425228
522,CSBBANK.NS,CSBBANK,CSB Bank Limited,425214
523,KTKBANK.NS,KTKBANK,The Karnataka Bank Limited,423778
524,MMTC.NS,MMTC,MMTC Limited,418500
525,ENGINERSIN.NS,ENGINERSIN,Engineers India Limited,418441
526,SUNTECK.NS,SUNTECK,Sunteck Realty Limited,417025
527,PRIVISCL.NS,PRIVISCL,Privi Speciality Chemicals Limited,410783
528,PARADEEP.NS,PARADEEP,Paradeep Phosphates Limited,410507
529,SOBHA.NS,SOBHA,Sobha Limited,408406
530,FUSION.NS,FUSION,Fusion Micro Finance Limited,403278
531,GMDCLTD.NS,GMDCLTD,Gujarat Mineral Development Corporation Limited,402588
532,VIJAYA.NS,VIJAYA,Vijaya Diagnostic Centre Limited,399405
533,JAMNAAUTO.NS,JAMNAAUTO,Jamna Auto Industries Limited,397228
534,ANANTRAJ.NS,ANANTRAJ,Anant Raj Limited,395884
535,SANSERA.NS,SANSERA,Sansera Engineering Limited,395622
536,MFL.NS,MFL,Meghmani Finechem Limited,392088
537,AHLUCONT.NS,AHLUCONT,Ahluwalia Contracts (India) Limited,386284
538,BSHSL.NS,BSHSL,Bombay Super Hybrid Seeds Limited,385854
539,TATACOFFEE.NS,TATACOFFEE,Tata Coffee Limited,384467
540,TEAMLEASE.NS,TEAMLEASE,Teamlease Services Limited,382874
541,JKTYRE.NS,JKTYRE,JK Tyre & Industries Limited,381658
542,VARROC.NS,VARROC,Varroc Engineering Limited,380973
543,GREENLAM.NS,GREENLAM,Greenlam Industries Limited,380914
544,JPPOWER.NS,JPPOWER,Jaiprakash Power Ventures Limited,380367
545,INFIBEAM.NS,INFIBEAM,Infibeam Avenues Limited,378906
546,SPANDANA.NS,SPANDANA,Spandana Sphoorty Financial Limited,378234
547,HSCL.NS,HSCL,Himadri Speciality Chemical Limited,377753
548,BHARATRAS.NS,BHARATRAS,Bharat Rasayan Limited,377172
549,RAJRATAN.NS,RAJRATAN,Rajratan Global Wire Limited,377152
550,LAOPALA.NS,LAOPALA,La Opala RG Limited,376845
551,SARDAEN.NS,SARDAEN,Sarda Energy & Minerals Limited,376185
552,RALLIS.NS,RALLIS,Rallis India Limited,375130
553,BOROLTD.NS,BOROLTD,Borosil Limited,374276
554,RATEGAIN.NS,RATEGAIN,Rategain Travel Technologies Limited,372286
555,SCHNEIDER.NS,SCHNEIDER,Schneider Electric Infrastructure Limited,372285
556,RPOWER.NS,RPOWER,Reliance Power Limited,371653
557,ARVINDFASN.NS,ARVINDFASN,Arvind Fashions Limited,371444
558,TATVA.NS,TATVA,Tatva Chintan Pharma Chem Limited,369946
559,POWERMECH.NS,POWERMECH,Power Mech Projects Limited,368172
560,HCG.NS,HCG,Healthcare Global Enterprises Limited,365110
561,NESCO.NS,NESCO,Nesco Limited,364771
562,HEIDELBERG.NS,HEIDELBERG,HeidelbergCement India Limited,364734
563,TECHNOE.NS,TECHNOE,Techno Electric & Engineering Company Limited,363322
564,POLYPLEX.NS,POLYPLEX,Polyplex Corporation Limited,358675
565,SURYAROSNI.NS,SURYAROSNI,Surya Roshni Limited,357957
566,AUTOAXLES.NS,AUTOAXLES,Automotive Axles Limited,357285
567,JWL.NS,JWL,Jupiter Wagons Limited,357227
568,NFL.NS,NFL,National Fertilizers Limited,355424
569,HEG.NS,HEG,HEG Limited,355349
570,RAJRILTD.NS,RAJRILTD,Raj Rayon Industries Limited,355337
571,CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited,353665
572,WSTCSTPAPR.NS,WSTCSTPAPR,West Coast Paper Mills Limited,350456
573,LUXIND.NS,LUXIND,Lux Industries Limited,349177
574,HIKAL.NS,HIKAL,Hikal Limited,347277
575,MIDHANI.NS,MIDHANI,Mishra Dhatu Nigam Limited,345923
576,HLEGLAS.NS,HLEGLAS,HLE Glascoat Limited,344604
577,SHAREINDIA.NS,SHAREINDIA,Share India Securities Limited,344502
578,NOCIL.NS,NOCIL,NOCIL Limited,344367
579,NAZARA.NS,NAZARA,Nazara Technologies Limited,341756
580,BANARISUG.NS,BANARISUG,Bannari Amman Sugars Limited,339964
581,ANANDRATHI.NS,ANANDRATHI,Anand Rathi Wealth Limited,336716
582,PRUDENT.NS,PRUDENT,Prudent Corporate Advisory Services Limited,334814
583,GRAVITA.NS,GRAVITA,Gravita India Limited,334592
584,GREENPANEL.NS,GREENPANEL,Greenpanel Industries Limited,333608
585,VESUVIUS.NS,VESUVIUS,Vesuvius India Limited,332348
586,DCBBANK.NS,DCBBANK,DCB Bank Limited,331732
587,ROSSARI.NS,ROSSARI,Rossari Biotech Limited,328782
588,RESPONIND.NS,RESPONIND,Responsive Industries Limited,328703
589,TINPLATE.NS,TINPLATE,The Tinplate Company of India Limited,326301
590,KIRLOSBROS.NS,KIRLOSBROS,Kirloskar Brothers Limited,325775
591,RAILTEL.NS,RAILTEL,Railtel Corporation Of India Limited,324469
592,AMIORG.NS,AMIORG,Ami Organics Limited,324181
593,ISGEC.NS,ISGEC,Isgec Heavy Engineering Limited,320809
594,NEOGEN.NS,NEOGEN,Neogen Chemicals Limited,320769
595,MARKSANS.NS,MARKSANS,Marksans Pharma Limited,319115
596,NAVA.NS,NAVA,NAVA LIMITED,316392
597,NEWGEN.NS,NEWGEN,Newgen Software Technologies Limited,315290
598,BECTORFOOD.NS,BECTORFOOD,Mrs. Bectors Food Specialities Limited,314056
599,TWL.NS,TWL,Titagarh Wagons Limited,313755
600,AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,312757
601,UJJIVAN.NS,UJJIVAN,Ujjivan Financial Services Limited,311800
602,GATEWAY.NS,GATEWAY,Gateway Distriparks Limited,311778
603,SULA.NS,SULA,Sula Vineyards Limited,308715
604,DAAWAT.NS,DAAWAT,LT Foods Limited,308650
605,SOUTHBANK.NS,SOUTHBANK,The South Indian Bank Limited,306587
606,GET&D.NS,GET&D,GE T&D India Limited,305335
607,HARSHA.NS,HARSHA,Harsha Engineers International Limited,305043
608,PGEL.NS,PGEL,PG Electroplast Limited,303011
609,RSYSTEMS.NS,RSYSTEMS,R Systems International Limited,301201
610,INDOCO.NS,INDOCO,Indoco Remedies Limited,299719
611,MOLDTKPAC.NS,MOLDTKPAC,Mold-Tek Packaging Limited,299063
612,IFBIND.NS,IFBIND,IFB Industries Limited,298826
613,SBCL.NS,SBCL,Shivalik Bimetal Controls Limited,295769
614,BCG.NS,BCG,Brightcom Group Limited,294617
615,GREAVESCOT.NS,GREAVESCOT,Greaves Cotton Limited,291993
616,MOIL.NS,MOIL,MOIL Limited,289356
617,TATASTLLP.NS,TATASTLLP,Tata Steel Long Products Limited,284243
618,TARSONS.NS,TARSONS,Tarsons Products Limited,283137
619,SHANTIGEAR.NS,SHANTIGEAR,Shanthi Gears Limited,281586
620,CHOICEIN.NS,CHOICEIN,Choice International Limited,280922
621,TIIL.NS,TIIL,Technocraft Industries (India) Limited,278950
622,DHANUKA.NS,DHANUKA,Dhanuka Agritech Limited,278666
623,JCHAC.NS,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,276409
624,DODLA.NS,DODLA,Dodla Dairy Limited,275898
625,DALMIASUG.NS,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,273534
626,VOLTAMP.NS,VOLTAMP,Voltamp Transformers Limited,272398
627,ASTEC.NS,ASTEC,Astec LifeSciences Limited,271538
628,SUDARSCHEM.NS,SUDARSCHEM,Sudarshan Chemical Industries Limited,270886
629,KSCL.NS,KSCL,Kaveri Seed Company Limited,267278
630,SUNFLAG.NS,SUNFLAG,Sunflag Iron And Steel Company Limited,265734
631,IBREALEST.NS,IBREALEST,Indiabulls Real Estate Limited,264879
632,THOMASCOOK.NS,THOMASCOOK,Thomas Cook  (India)  Limited,264119
633,HBLPOWER.NS,HBLPOWER,HBL Power Systems Limited,264028
634,INOXWIND.NS,INOXWIND,Inox Wind Limited,263971
635,NILKAMAL.NS,NILKAMAL,Nilkamal Limited,262047
636,ZENTEC.NS,ZENTEC,Zen Technologies Limited,260912
637,TCNSBRANDS.NS,TCNSBRANDS,TCNS Clothing Co. Limited,259795
638,ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,259432
639,STAR.NS,STAR,Strides Pharma Science Limited,258582
640,FCL.NS,FCL,Fineotex Chemical Limited,258155
641,KKCL.NS,KKCL,Kewal Kiran Clothing Limited,257532
642,HINDWAREAP.NS,HINDWAREAP,Hindware Home Innovation Limited,256905
643,MAHLOG.NS,MAHLOG,Mahindra Logistics Limited,255015
644,EMIL.NS,EMIL,Electronics Mart India Limited,254896
645,JTEKTINDIA.NS,JTEKTINDIA,Jtekt India Limited,253648
646,MANINFRA.NS,MANINFRA,Man Infraconstruction Limited,253193
647,ITDC.NS,ITDC,India Tourism Development Corporation Limited,253191
648,APCOTEXIND.NS,APCOTEXIND,Apcotex Industries Limited,252770
649,PRICOLLTD.NS,PRICOLLTD,Pricol Limited,252599
650,PTC.NS,PTC,PTC India Limited,251755
651,AARTIPHARM.NS,AARTIPHARM,Aarti Pharmalabs Limited,249992
652,MBAPL.NS,MBAPL,Madhya Bharat Agro Products Limited,249014
653,SAGCEM.NS,SAGCEM,Sagar Cements Limited,248018
654,TDPOWERSYS.NS,TDPOWERSYS,TD Power Systems Limited,247796
655,JAICORPLTD.NS,JAICORPLTD,Jai Corp Limited,247242
656,DBL.NS,DBL,Dilip Buildcon Limited,246957
657,BARBEQUE.NS,BARBEQUE,Barbeque Nation Hospitality Limited,246792
658,UNIPARTS.NS,UNIPARTS,Uniparts India Limited,243429
659,UFLEX.NS,UFLEX,UFLEX Limited,242306
660,WONDERLA.NS,WONDERLA,Wonderla Holidays Limited,242215
661,PSPPROJECT.NS,PSPPROJECT,PSP Projects Limited,241524
662,KIRLOSIND.NS,KIRLOSIND,Kirloskar Industries Limited,240367
663,IPL.NS,IPL,India Pesticides Limited,239367
664,DISHTV.NS,DISHTV,Dish TV India Limited,239363
665,TATAMETALI.NS,TATAMETALI,Tata Metaliks Limited,236800
666,PAISALO.NS,PAISALO,Paisalo Digital Limited,236635
667,PFOCUS.NS,PFOCUS,Prime Focus Limited,236484
668,HEMIPROP.NS,HEMIPROP,Hemisphere Properties India Limited,234698
669,LGBBROSLTD.NS,LGBBROSLTD,LG Balakrishnan & Bros Limited,233026
670,MAITHANALL.NS,MAITHANALL,Maithan Alloys Limited,232892
671,SSWL.NS,SSWL,Steel Strips Wheels Limited,231561
672,NEULANDLAB.NS,NEULANDLAB,Neuland Laboratories Limited,231458
673,HATHWAY.NS,HATHWAY,Hathway Cable & Datacom Limited,229229
674,THYROCARE.NS,THYROCARE,Thyrocare Technologies Limited,227520
675,ORIENTCEM.NS,ORIENTCEM,Orient Cement Limited,225253
676,DREAMFOLKS.NS,DREAMFOLKS,Dreamfolks Services Limited,224910
677,ETHOSLTD.NS,ETHOSLTD,Ethos Limited,224129
678,GLOBUSSPR.NS,GLOBUSSPR,Globus Spirits Limited,223682
679,GANESHHOUC.NS,GANESHHOUC,Ganesh Housing Corporation Limited,223602
680,ARVIND.NS,ARVIND,Arvind Limited,222273
681,ICIL.NS,ICIL,Indo Count Industries Limited,221920
682,SHRIPISTON.NS,SHRIPISTON,Shriram Pistons & Rings Limited,221802
683,WOCKPHARMA.NS,WOCKPHARMA,Wockhardt Limited,221752
684,DBREALTY.NS,DBREALTY,D B Realty Limited,221464
685,ISMTLTD.NS,ISMTLTD,ISMT Limited,220718
686,JINDALPOLY.NS,JINDALPOLY,Jindal Poly Films Limited,219304
687,WABAG.NS,WABAG,VA Tech Wabag Limited,218848
688,BAJAJCON.NS,BAJAJCON,Bajaj Consumer Care Limited,218593
689,GENUSPOWER.NS,GENUSPOWER,Genus Power Infrastructures Limited,218183
690,BUTTERFLY.NS,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,216584
691,NAVNETEDUL.NS,NAVNETEDUL,Navneet Education Limited,215694
692,GOKEX.NS,GOKEX,Gokaldas Exports Limited,215658
693,APOLLOPIPE.NS,APOLLOPIPE,Apollo Pipes Limited,215479
694,LANDMARK.NS,LANDMARK,Landmark Cars Limited,215360
695,IFCI.NS,IFCI,IFCI Limited,215201
696,ATFL.NS,ATFL,Agro Tech Foods Limited,213633
697,EVEREADY.NS,EVEREADY,Eveready Industries India Limited,212356
698,AGI.NS,AGI,AGI Greenpac Limited,209490
699,TI.NS,TI,Tilaknagar Industries Limited,208878
700,ASHOKA.NS,ASHOKA,Ashoka Buildcon Limited,207735
701,SOMANYCERA.NS,SOMANYCERA,Somany Ceramics Limited,207635
702,HCC.NS,HCC,Hindustan Construction Company Limited,207285
703,JISLJALEQS.NS,JISLJALEQS,Jain Irrigation Systems Limited,207091
704,VINDHYATEL.NS,VINDHYATEL,Vindhya Telelinks Limited,206958
705,FIEMIND.NS,FIEMIND,Fiem Industries Limited,206057
706,TASTYBITE.NS,TASTYBITE,Tasty Bite Eatables Limited,205854
707,JAYNECOIND.NS,JAYNECOIND,Jayaswal Neco Industries Limited,205366
708,HONDAPOWER.NS,HONDAPOWER,Honda India Power Products Limited,204302
709,UNICHEMLAB.NS,UNICHEMLAB,Unichem Laboratories Limited,203965
710,MUKANDLTD.NS,MUKANDLTD,Mukand Limited,203811
711,CIGNITITEC.NS,CIGNITITEC,Cigniti Technologies Limited,203337
712,MMFL.NS,MMFL,MM Forgings Limited,202578
713,VENKEYS.NS,VENKEYS,Venky's (India) Limited,202548
714,RAMKY.NS,RAMKY,Ramky Infrastructure Limited,201815
715,DIVGIITTS.NS,DIVGIITTS,Divgi Torqtransfer Systems Limited,201373
716,CAMLINFINE.NS,CAMLINFINE,Camlin Fine Sciences Limited,200216
717,SHILPAMED.NS,SHILPAMED,Shilpa Medicare Limited,198646
718,GULFOILLUB.NS,GULFOILLUB,Gulf Oil Lubricants India Limited,198250
719,MOL.NS,MOL,Meghmani Organics Limited,197602
720,DOLLAR.NS,DOLLAR,Dollar Industries Limited,197259
721,VSTTILLERS.NS,VSTTILLERS,V.S.T Tillers Tractors Limited,196493
722,SUBROS.NS,SUBROS,Subros Limited,195740
723,DCAL.NS,DCAL,Dishman Carbogen Amcis Limited,195587
724,GABRIEL.NS,GABRIEL,Gabriel India Limited,195428
725,MAXVIL.NS,MAXVIL,Max Ventures and Industries Limited,195207
726,SIYSIL.NS,SIYSIL,Siyaram Silk Mills Limited,195073
727,TVSSRICHAK.NS,TVSSRICHAK,TVS Srichakra Limited,194876
728,ASTRAMICRO.NS,ASTRAMICRO,Astra Microwave Products Limited,194616
729,JKIL.NS,JKIL,J.Kumar Infraprojects Limited,192493
730,JAGRAN.NS,JAGRAN,Jagran Prakashan Limited,191281
731,ELECTCAST.NS,ELECTCAST,Electrosteel Castings Limited,190868
732,CARERATING.NS,CARERATING,CARE Ratings Limited,190787
733,INDIAGLYCO.NS,INDIAGLYCO,India Glycols Limited,190289
734,BALMLAWRIE.NS,BALMLAWRIE,Balmer Lawrie & Company Limited,189643
735,KOLTEPATIL.NS,KOLTEPATIL,Kolte - Patil Developers Limited,189441
736,IMAGICAA.NS,IMAGICAA,Imagicaaworld Entertainment Limited,188483
737,WELENT.NS,WELENT,Welspun Enterprises Limited,188304
738,TIPSINDLTD.NS,TIPSINDLTD,TIPS Industries Limited,187548
739,SWARAJENG.NS,SWARAJENG,Swaraj Engines Limited,186980
740,MAYURUNIQ.NS,MAYURUNIQ,Mayur Uniquoters Ltd,184623
741,GANECOS.NS,GANECOS,Ganesha Ecosphere Limited,184317
742,PARAS.NS,PARAS,Paras Defence and Space Technologies Limited,183437
743,LUMAXTECH.NS,LUMAXTECH,Lumax Auto Technologies Limited,183276
744,ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,182056
745,KESORAMIND.NS,KESORAMIND,Kesoram Industries Limited,182023
746,CARTRADE.NS,CARTRADE,Cartrade Tech Limited,181964
747,MPSLTD.NS,MPSLTD,MPS Limited,181647
748,SEQUENT.NS,SEQUENT,Sequent Scientific Limited,181089
749,HIL.NS,HIL,HIL Limited,180965
750,GUFICBIO.NS,GUFICBIO,Gufic Biosciences Limited,180705
751,ITDCEM.NS,ITDCEM,ITD Cementation India Limited,179260
752,PILANIINVS.NS,PILANIINVS,Pilani Investment and Industries Corporation Limited,179227
753,MSTCLTD.NS,MSTCLTD,Mstc Limited,178042
754,LSIL.NS,LSIL,Lloyds Steels Industries Limited,177404
755,PANAMAPET.NS,PANAMAPET,Panama Petrochem Limited,176762
756,OPTIEMUS.NS,OPTIEMUS,Optiemus Infracom Limited,176694
757,SIRCA.NS,SIRCA,Sirca Paints India Limited,176635
758,TIRUMALCHM.NS,TIRUMALCHM,Thirumalai Chemicals Limited,175903
759,DYNAMATECH.NS,DYNAMATECH,Dynamatic Technologies Limited,175176
760,SUNDARMHLD.NS,SUNDARMHLD,Sundaram Finance Holdings Limited,175129
761,TIMETECHNO.NS,TIMETECHNO,Time Technoplast Limited,174133
762,DBCORP.NS,DBCORP,D.B.Corp Limited,173579
763,ASHIANA.NS,ASHIANA,Ashiana Housing Limited,173077
764,CONFIPET.NS,CONFIPET,Confidence Petroleum India Limited,172963
765,DIAMONDYD.NS,DIAMONDYD,Prataap Snacks Limited,172743
766,NUCLEUS.NS,NUCLEUS,Nucleus Software Exports Limited,171162
767,GREENPLY.NS,GREENPLY,Greenply Industries Limited,170737
768,JPASSOCIAT.NS,JPASSOCIAT,Jaiprakash Associates Limited,170594
769,WENDT.NS,WENDT,Wendt (India) Limited,170174
770,FINOPB.NS,FINOPB,Fino Payments Bank Limited,169965
771,FMGOETZE.NS,FMGOETZE,Federal-Mogul Goetze (India) Limited.,169956
772,SANGHIIND.NS,SANGHIIND,Sanghi Industries Limited,169849
773,VAKRANGEE.NS,VAKRANGEE,Vakrangee Limited,169520
774,GNA.NS,GNA,GNA Axles Limited,169094
775,AMRUTANJAN.NS,AMRUTANJAN,Amrutanjan Health Care Limited,168368
776,EMUDHRA.NS,EMUDHRA,eMudhra Limited,167738
777,DATAMATICS.NS,DATAMATICS,Datamatics Global Services Limited,167534
778,SHARDAMOTR.NS,SHARDAMOTR,Sharda Motor Industries Limited,166854
779,IOLCP.NS,IOLCP,IOL Chemicals and Pharmaceuticals Limited,166049
780,LUMAXIND.NS,LUMAXIND,Lumax Industries Limited,165385
781,BAJAJHIND.NS,BAJAJHIND,Bajaj Hindusthan Sugar Limited,164779
782,STYLAMIND.NS,STYLAMIND,Stylam Industries Limited,164608
783,ANDHRAPAP.NS,ANDHRAPAP,ANDHRA PAPER LIMITED,164588
784,SOTL.NS,SOTL,Savita Oil Technologies Limited,163803
785,ADFFOODS.NS,ADFFOODS,ADF Foods Limited,163433
786,VIDHIING.NS,VIDHIING,Vidhi Specialty Food Ingredients Limited,162821
787,KABRAEXTRU.NS,KABRAEXTRU,Kabra Extrusion Technik Limited,162665
788,BEPL.NS,BEPL,Bhansali Engineering Polymers Limited,162588
